"Y" "X1" "X2" "X3" "X4" "X5"
4.5 8.28 48.1 26 101.8 108
4.8 9.36 54.1 18.3 90.6 165
5 11.03 49.9 19.7 102.1 318
5.5 10.9 57.2 10.6 71.9 593
1.6 8.82 58.2 3.8 51.7 80
3.9 8.28 49.5 12 113.1 546
5.2 9.84 53 17.7 72.6 210
6.3 8.84 56.3 29.6 82.6 85
4.3 9.89 45.2 11.8 108.7 190
1.7 8.09 56.9 7.6 56.9 92
1.3 8.16 60.9 1.9 58 73
3.7 8.58 55 7.4 95.9 304
4.2 9 56.3 14.6 76.4 72
2.9 10.79 44.2 2.6 56.6 461
4.3 7.65 47.1 16.4 65.7 318
4.3 8.3 57.2 6.8 83.8 167
3.2 8.19 52.1 10.8 59.2 176
4.4 10.02 49.5 8.3 93 265
3.9 11.15 56.5 7.7 73.9 281
2.9 8.9 49.7 12.7 86.9 52
5.6 11.48 57.6 20.3 82 252
5 9.78 52.3 17.6 95.9 270
5.9 17.94 56.2 26.4 91.8 835
7.7 12.78 56.8 46 116.9 322
3.5 8.03 54.2 24.3 87.3 97
3.8 8.66 52.8 6.8 69.5 246
4.9 11.07 53.2 28.5 122 768
5 7.78 45.5 20.9 71.6 489
4.3 8.67 48.2 24.4 90.8 182
4.9 10.23 53.2 9.9 77.9 752
7.6 11.41 61.1 16.6 97.9 535
3.7 7.14 59 2.6 75.8 70
6.2 10.15 51.9 16.4 59.2 568
3.5 7.94 49.5 6.2 92.3 195
4.3 9.42 50.6 24.8 62.8 508
4.2 7.39 51 14.6 88.4 72
4.4 7.7 56.9 12.2 67.9 129
4.2 8.88 51.5 10.1 86.9 305
4.6 7.84 49.1 7.1 87.9 60
4.4 11.65 54.5 18.6 96.1 248
6.5 19.56 59.9 17.2 113.7 306
1.8 7.67 51.7 2.5 40.4 106
2.7 7.14 57.6 13.1 92.6 92
4.1 7.13 55.7 9 39.6 279
5.7 11.8 53.8 9.1 116.9 571
6.4 11.62 53.9 25.5 99.2 133
1.4 7.14 51.7 4.1 45.7 115
2.6 9.76 53.2 6.9 80.1 64
5.2 9.53 51.5 15 65.7 298
3 11.2 45 7 78.9 130
4.8 10.24 49 36.3 112.6 195
4.5 6.7 48.6 13 80.8 76
2.1 8.02 55 3.8 46.5 91
4.2 7.53 42 23.1 98.9 95
2.8 9.97 58.2 16.5 76.5 90
5.6 10.12 51.7 14.9 79.1 362
2.3 7.95 51.8 4.6 54.9 163
5.1 10.3 59.6 27.8 88.9 175
5 10.33 55.8 21.2 104.3 266
2.9 10.8 63.9 1.6 57.4 130
5.3 8.15 54.9 12.3 79.8 99
4.7 8.77 54.5 5.2 47 143
4.5 9.44 52.5 10.9 58.5 297
4.6 10.16 54.2 8.4 51.5 831
5.1 9.76 50.9 21.9 97 150
5.6 8.95 53.7 18.9 122.8 147
4.1 9.05 51.2 20.5 79.8 195
1.3 8.92 53.9 2.2 79.5 56
5.5 8.37 50.7 15.1 84.8 115
